# Constructed from biom file
#OTU ID	VCP24	VCP25	VCP28	VCP29	VCP30	VCP31	VCP32	VCP33	VCR14	VCR15	VCR16	VCR17	VCR18	VCR19	VCR21	VCR26	VKI54	VKI55	VKI60	VUH33	VUH34	VUH36	VUH37	VUH38	VUH39	VUH40	VUH41	VUH42	VUH43
71c0c69cab62c92a590d7465ebfc4e99	11563.0	10152.0	11442.0	9010.0	13352.0	15336.0	12704.0	10664.0	12251.0	9109.0	13128.0	4026.0	13644.0	11785.0	13214.0	13815.0	4152.0	6085.0	4668.0	7620.0	13054.0	6191.0	13598.0	11390.0	4824.0	10485.0	13351.0	7019.0	9765.0
4d1a2677cdc2907f2609f926c4791310	649.0	357.0	63.0	6332.0	11.0	0.0	16.0	22.0	74.0	6.0	39.0	2960.0	32.0	108.0	26.0	0.0	9327.0	8088.0	1048.0	4894.0	2413.0	9658.0	979.0	4351.0	10298.0	26.0	606.0	8302.0	237.0
58b900cf116d8414965a5351a6a13bfb	0.0	0.0	0.0	0.0	1915.0	0.0	0.0	0.0	0.0	0.0	38.0	7997.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fa5e681f38a0c4c6019ae5f6994cb107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3591.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	5920.0
b02a8d33d018119dedb2db15db887bfd	190.0	73.0	147.0	91.0	52.0	53.0	773.0	618.0	430.0	418.0	314.0	107.0	261.0	222.0	205.0	157.0	92.0	99.0	54.0	41.0	93.0	69.0	772.0	224.0	218.0	81.0	460.0	96.0	218.0
5614a74a210b3ca57af995f221c77765	258.0	235.0	260.0	166.0	274.0	347.0	246.0	252.0	268.0	177.0	321.0	74.0	273.0	257.0	275.0	281.0	0.0	151.0	122.0	160.0	308.0	144.0	302.0	247.0	114.0	204.0	317.0	168.0	218.0
14f1c719c9a642b9e02789c8ab99180f	454.0	7.0	25.0	0.0	0.0	0.0	32.0	29.0	95.0	1438.0	102.0	9.0	45.0	361.0	111.0	2.0	13.0	70.0	4.0	8.0	11.0	17.0	36.0	9.0	219.0	22.0	85.0	46.0	7.0
070a5905f0b58c6ac1b695588e91cad2	144.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	5.0	0.0	0.0	29.0	53.0	36.0	0.0	1310.0	1050.0	5225.0	6.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0
565b4f421328126f98e9f2aff31630f1	11.0	2148.0	36.0	0.0	0.0	0.0	6.0	20.0	6.0	14.0	24.0	0.0	0.0	0.0	18.0	243.0	0.0	0.0	0.0	4.0	18.0	10.0	0.0	0.0	3.0	2632.0	190.0	8.0	0.0
2be2dfe124460150ff83e70eb6556b68	178.0	166.0	150.0	136.0	209.0	0.0	196.0	171.0	203.0	143.0	0.0	58.0	217.0	160.0	202.0	172.0	52.0	114.0	59.0	100.0	187.0	82.0	228.0	143.0	69.0	176.0	147.0	114.0	119.0
535f1e5956a3e98c1c2330ed54d19df2	7.0	1300.0	0.0	0.0	5.0	0.0	11.0	0.0	5.0	0.0	16.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	9.0	32.0	14.0	2.0	0.0	0.0	1966.0	207.0	0.0	0.0
9cba355797c80afa2c16e3a35e48964e	0.0	0.0	0.0	0.0	0.0	0.0	237.0	0.0	0.0	212.0	0.0	0.0	22.0	0.0	13.0	0.0	4.0	2.0	0.0	2921.0	10.0	0.0	0.0	0.0	0.0	0.0	6.0	1.0	0.0
6ef095513e4c1aa30fcc6513eef8c9a5	209.0	158.0	144.0	81.0	105.0	134.0	210.0	54.0	120.0	134.0	137.0	95.0	186.0	233.0	160.0	105.0	50.0	64.0	49.0	117.0	120.0	37.0	76.0	65.0	89.0	92.0	127.0	95.0	49.0
4e3e23ece49b18503144cfca69bd9f35	84.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	11.0	30.0	15.0	0.0	505.0	503.0	3359.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0
95870ee98405bf3bcc84a5804dd6411e	137.0	165.0	142.0	73.0	105.0	112.0	162.0	36.0	76.0	131.0	142.0	84.0	134.0	157.0	177.0	83.0	31.0	35.0	45.0	82.0	63.0	21.0	38.0	43.0	40.0	54.0	57.0	61.0	36.0
c13ac4813c3b31d3413ad806536b959a	179.0	108.0	92.0	62.0	80.0	125.0	138.0	54.0	84.0	79.0	132.0	64.0	118.0	96.0	122.0	107.0	26.0	28.0	40.0	88.0	87.0	43.0	44.0	65.0	71.0	100.0	110.0	61.0	27.0
